=== PROJECT PRICING DEBUG ===
Project,"Verify-03-Double-A"
Status,"STAGING"

=== PRICING MODE ===
Name,"Default (Hybrid)"
Extrusion Markup,300%
Hardware Markup,300%
Glass Markup,300%
Packaging Markup,0%
Global Markup,0%
Discount,0%
Extrusion Costing,"HYBRID"

=== OPENING: Opening 1 ===
Finish Color,"Black (Anodized)"

--- Component: Active Sliding Door (Panel 1354) ---
Dimensions,"41"" W x 84"" H"

BOM ITEMS
Part Number,Part Name,Part Type,Stock Length,Cut Length,Quantity,BOM Qty,BOM Unit,Unit Cost,Finish Cost,Marked Up Cost,Non-Marked Up Cost,Total Cost,Method,Details,Finish Details
"48447-BLA-99","Glass Stop (Face)","Extrusion","99in","38.50in",2,,,$1.18,$2.35,$11.81,$0.00,$11.81,"extrusion_hybrid_percentage","Cut 38.50"" from 99"" stock (38.9% used, <50%) | Piece price: $3.04 | Calc: 38.9% × $3.04 × 2 qty = $2.37","Black (Anodized) (cut length): 0.305' perim × 3.21' = 0.98 sq ft × $1.2/sq ft × 2 = $2.35"
"48447-BLA-99","Glass Stop (Face)","Extrusion","99in","84.00in",2,,,$3.04,$6.04,$26.69,$0.92,$27.61,"extrusion_hybrid_split","Cut 84.00"" from 99"" stock (84.8% used) | Piece price: $3.04 | Used: 84.8% × $3.04 × 2 = $5.16 (gets markup) | Remaining: 15.2% × $3.04 × 2 = $0.92 (no markup) | Material total: $6.08","Black (Anodized) (full stock): 0.305' perim × 8.25' = 2.52 sq ft × $1.2/sq ft × 2 = $6.04"
"E-12303-BLA-123","Flat Stock Trim","Extrusion","123in","38.50in",2,,,$4.29,$3.35,$37.71,$0.00,$37.71,"extrusion_hybrid_percentage","Cut 38.50"" from 123"" stock (31.3% used, <50%) | Piece price: $13.72 | Calc: 31.3% × $13.72 × 2 qty = $8.59","Black (Anodized) (cut length): 0.435' perim × 3.21' = 1.40 sq ft × $1.2/sq ft × 2 = $3.35"
"48601-BLA-99","Sliding Door Seal","Extrusion","99in","84.00in",1,,,$5.52,$5.19,$23.92,$0.84,$24.76,"extrusion_hybrid_split","Cut 84.00"" from 99"" stock (84.8% used) | Piece price: $5.52 | Used: 84.8% × $5.52 × 1 = $4.68 (gets markup) | Remaining: 15.2% × $5.52 × 1 = $0.84 (no markup) | Material total: $5.52","Black (Anodized) (full stock): 0.524' perim × 8.25' = 4.32 sq ft × $1.2/sq ft × 1 = $5.19"
"DR-ASD-TUBP020","3/8-24 Threaded Rod 35-1/16L","CutStock","","",2,,,$6.00,$0.00,$48.00,$0.00,$48.00,"master_part_direct","MasterPart direct: $6 × 2",""
"DR-ASD-BUMBS35","Black Bumper","Hardware","","",9,,,$0.06,$0.00,$2.14,$0.00,$2.14,"master_part_hardware","Hardware cost: $0.0594 × 9",""
"FOAM-GASKET-ROLL","Foam Gasket","Hardware","","",4,162,IN,$0.19,$0.00,$3.08,$0.00,$3.08,"bom_formula","Formula: width → 38.5 = 38.50 × $0.005/IN × 4 qty = $0.77",""
"FOAM-GASKET-ROLL","Foam Gasket","Hardware","","",4,353,IN,$0.42,$0.00,$6.72,$0.00,$6.72,"bom_formula","Formula: height → 84 = 84.00 × $0.005/IN × 4 qty = $1.68",""
"HW-ROLL-BUL105","MR105 Mini V Wheel Assembly","Hardware","","",2,,,$0.66,$0.00,$5.28,$0.00,$5.28,"master_part_hardware","Hardware cost: $0.66 × 2",""
"HW-SCR-MCMA491","Press-Fit Stud","Fastener","","",2,,,$0.00,$0.00,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"HW-N&B-FAS9152","3/8-16 Locking Nut","Fastener","","",4,,,$0.00,$0.00,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"door-box","Cardboard Box for Door","Packaging","","",1,,,$10.00,$0.00,$10.00,$0.00,$10.00,"master_part_direct","MasterPart direct: $10 × 1",""
"RM-PUCK-BRKT-L","Roller Guide Bracket 12g Steel","Hardware","","",1,,,$0.00,$0.00,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"DR-ASD-TUBP852","3/8 ID x 1-1/4 OD Washer","Fastener","","",4,,,$0.00,$0.00,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"DR-ASD-NUT1512","Hex Head Screw","Fastener","","",2,,,$0.00,$0.00,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"HW-SCR-MCMA491","Press-Fit Stud","Fastener","","",2,,,$0.00,$0.00,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"AD-LUG-3.20-FG","Door Lug (3.20)","Fastener","","",2,,,$0.00,$0.00,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""

OPTION ITEMS
Category,Option Name,Part Number,Quantity,Unit Price,Total Price,Method,Details,Is Standard,Is Included

GLASS
Glass Type,Width Formula,Height Formula,Calc Width,Calc Height,Qty,Sqft,Price/Sqft,Total Cost

Component BOM Total,$162.21
Component Options Total,$0.00
Component Glass Total,$0.00

--- Component: Opening / Jamb Parts (Panel null) ---
Dimensions,"77"" W x 84"" H"

BOM ITEMS
Part Number,Part Name,Part Type,Stock Length,Cut Length,Quantity,BOM Qty,BOM Unit,Unit Cost,Finish Cost,Marked Up Cost,Non-Marked Up Cost,Total Cost,Method,Details,Finish Details
"48387-BLA","Header Jamb","Extrusion","","",1,,,$0.00,$0.00,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"48387-BLA","Header Jamb","Extrusion","","",2,,,$0.00,$0.00,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""

OPTION ITEMS
Category,Option Name,Part Number,Quantity,Unit Price,Total Price,Method,Details,Is Standard,Is Included

GLASS
Glass Type,Width Formula,Height Formula,Calc Width,Calc Height,Qty,Sqft,Price/Sqft,Total Cost

Component BOM Total,$0.00
Component Options Total,$0.00
Component Glass Total,$0.00

--- OPENING COST SUMMARY ---
Category,Base Cost,Markup %,Marked Up Cost
Extrusion,$353.25,300%,$1343.25
Hardware,$65.44,300%,$261.76
Glass,$0.00,300%,$0.00
Packaging,$20.00,0%,$20.00
Other,$0.00,0%,$0.00
Standard Options (no markup),$0.00,0%,$0.00
Hybrid Remaining (no markup),$23.25,0%,$23.25

Opening Total (Base),$438.69
Opening Total (Marked Up),$1625.01


=== PROJECT TOTALS ===
Subtotal (Base),$877.38
Subtotal (Marked Up),$3250.02
Installation,$0.00
Tax Rate,0.0%
Tax Amount,$0.00
Grand Total,$3250.02

=== EXTRUSION MARKUP BREAKDOWN ===
This section shows which portion of extrusion costs receive markup vs pass-through at cost

Opening,Total Extrusion Cost,Extrusion With Markup,Extrusion Without Markup (Hybrid Remaining),Markup %,Marked Up Result
"Opening 1",$353.25,$330.00,$23.25,300%,$1343.25
"Opening 2",$353.25,$330.00,$23.25,300%,$1343.25

TOTALS,$706.51,$660.00,$46.50,300%,$2686.51

Note: "Extrusion With Markup" = portion that receives the extrusion markup percentage
Note: "Extrusion Without Markup (Hybrid Remaining)" = portion passed through at cost (no markup applied)
Note: Marked Up Result = (With Markup × (1 + Markup%)) × (1 - Discount%) + Without Markup
